client_id,income,credit_score,LAST(loans.loan_amount),LAST(loans.loan_id),LAST(loans.loan_type),LAST(loans.rate),LAST(loans.repaid),MAX(loans.loan_amount),MAX(loans.rate),MAX(loans.repaid),MEAN(loans.loan_amount),MEAN(loans.rate),MEAN(loans.repaid),LAST(payments.missed),LAST(payments.payment_amount),LAST(payments.payment_id),MAX(payments.missed),MAX(payments.payment_amount),MEAN(payments.missed),MEAN(payments.payment_amount),MONTH(joined),YEAR(joined),LAST(loans.MAX(payments.missed)),LAST(loans.MAX(payments.payment_amount)),LAST(loans.MEAN(payments.missed)),LAST(loans.MEAN(payments.payment_amount)),LAST(loans.MONTH(loan_end)),LAST(loans.MONTH(loan_start)),LAST(loans.YEAR(loan_end)),LAST(loans.YEAR(loan_start)),MAX(loans.LAST(payments.missed)),MAX(loans.LAST(payments.payment_amount)),MAX(loans.LAST(payments.payment_id)),MAX(loans.MEAN(payments.missed)),MAX(loans.MEAN(payments.payment_amount)),MEAN(loans.LAST(payments.missed)),MEAN(loans.LAST(payments.payment_amount)),MEAN(loans.LAST(payments.payment_id)),MEAN(loans.MAX(payments.missed)),MEAN(loans.MAX(payments.payment_amount)),MEAN(loans.MEAN(payments.missed)),MEAN(loans.MEAN(payments.payment_amount)),LAST(payments.loans.loan_amount),LAST(payments.loans.loan_type),LAST(payments.loans.rate),LAST(payments.loans.repaid),MAX(payments.loans.loan_amount),MAX(payments.loans.rate),MAX(payments.loans.repaid),MEAN(payments.loans.loan_amount),MEAN(payments.loans.rate),MEAN(payments.loans.repaid),MONTH(LAST(loans.loan_end)),MONTH(LAST(loans.loan_start)),MONTH(LAST(payments.payment_date)),YEAR(LAST(loans.loan_end)),YEAR(LAST(loans.loan_start)),YEAR(LAST(payments.payment_date))
42320,229481,563,1070,10769,credit,0.95,1,13887.0,6.74,1.0,7062.066666666667,2.457333333333333,0.6,1,1082,1542,1.0,2769.0,0.5166666666666667,1021.4833333333333,4,2000,1.0,210.0,0.5555555555555556,176.77777777777777,2,11,2014,2011,1.0,2098.0,3162.0,0.7777777777777778,2229.4,0.26666666666666666,1001.7333333333333,1714.9333333333334,1.0,1325.0666666666666,0.5037301587301587,1042.907671957672,8090,home,3.18,0,13887.0,6.74,1.0,7028.058333333333,2.5236666666666667,0.5833333333333334,2,11,4,2014,2011,2013
39384,191204,617,10703,11038,credit,9.01,1,14654.0,9.23,1.0,7865.473684210527,3.538421052631579,0.631578947368421,1,2045,2562,1.0,2822.0,0.5136986301369864,1193.6301369863013,6,2000,1.0,2046.0,0.25,1455.125,5,5,2004,2002,1.0,2472.0,2629.0,1.0,2311.285714285714,0.5789473684210527,1265.0,2565.5263157894738,1.0,1503.4736842105262,0.5086490736645535,1194.6282274313235,14654,other,2.26,0,14654.0,9.23,1.0,7957.130136986301,3.4186301369863012,0.5753424657534246,5,5,3,2004,2002,2015
26945,214516,806,3643,11434,home,0.13,0,14593.0,5.65,1.0,7125.933333333333,2.8553333333333333,0.4,1,1597,3340,1.0,2768.0,0.5089285714285714,1109.4732142857142,11,2000,1.0,600.0,0.6666666666666666,479.5,12,3,2011,2010,1.0,2530.0,3455.0,0.8333333333333334,2272.8571428571427,0.7333333333333333,1237.4,3390.4,1.0,1411.6,0.5114306064306064,1115.150111925112,9249,cash,2.86,1,14593.0,5.65,1.0,6884.401785714285,2.947589285714286,0.3392857142857143,12,3,7,2011,2010,2014
41472,152214,638,5554,11792,credit,4.6,1,13657.0,9.82,1.0,7510.8125,3.98125,0.5,0,1453,3129,1.0,2436.0,0.4857142857142857,1129.0761904761905,11,2001,1.0,1087.0,0.5555555555555556,871.1111111111111,8,2,2008,2006,1.0,2230.0,3177.0,1.0,1992.25,0.3125,1076.9375,3112.0,0.9375,1382.6875,0.4839037698412698,1133.4141617063492,10122,cash,1.03,0,13657.0,9.82,1.0,7473.628571428571,4.146285714285715,0.5333333333333333,8,2,3,2008,2006,2015
46180,43851,562,9221,10893,credit,0.88,1,14081.0,9.26,1.0,7700.85,3.5025,0.5,1,697,437,1.0,2660.0,0.4161073825503356,1186.5503355704698,11,2001,1.0,1705.0,0.14285714285714285,1415.5714285714287,2,7,2004,2002,1.0,2273.0,1477.0,0.6666666666666666,2016.75,0.45,1176.4,527.85,0.95,1491.45,0.408829365079365,1163.8033829365081,3834,other,1.38,0,14081.0,9.26,1.0,7668.89932885906,3.8820805369127513,0.4966442953020134,2,7,2,2004,2002,2015
46109,172677,527,559,10599,credit,4.15,1,14049.0,9.48,1.0,8951.6,3.1525000000000003,0.55,0,1827,102,1.0,2735.0,0.48226950354609927,1375.5602836879432,4,2002,1.0,2735.0,0.5,1218.7,11,2,2009,2008,1.0,2644.0,135.0,0.8,2334.6666666666665,0.45,1433.4,69.0,1.0,1820.5,0.49789682539682534,1422.4612896825397,10853,other,2.82,0,14049.0,9.48,1.0,8508.234042553191,3.195390070921986,0.5390070921985816,11,2,6,2009,2008,2014
32885,58955,642,7914,11006,credit,5.25,1,14162.0,9.11,1.0,9920.4,2.436,0.5333333333333333,0,1909,2170,1.0,2422.0,0.5130434782608696,1396.495652173913,5,2002,1.0,1550.0,0.4,1262.4,7,12,2011,2008,1.0,2367.0,3327.0,0.8333333333333334,2127.5,0.4666666666666667,1614.0666666666666,2265.5333333333333,1.0,1866.8666666666666,0.5189153439153439,1438.236984126984,11886,other,9.11,0,14162.0,9.11,1.0,9445.269565217392,2.1301739130434783,0.5478260869565217,7,12,12,2011,2008,2014
29841,38354,523,9394,11617,cash,6.12,1,14837.0,6.76,1.0,9813.0,3.445,0.5555555555555556,1,800,1912,1.0,2898.0,0.5266666666666666,1439.4333333333334,8,2002,1.0,1706.0,0.3333333333333333,1415.0,4,4,2013,2011,1.0,2742.0,1958.0,0.875,2383.777777777778,0.5,1416.8333333333333,1880.1666666666667,1.0,1866.0,0.5282865282865283,1455.2337369420702,7223,home,5.09,1,14837.0,6.76,1.0,9861.08,3.2984666666666667,0.56,4,4,1,2013,2011,2015
38537,127183,643,10498,11197,credit,4.09,1,14804.0,8.01,1.0,8986.35294117647,2.3894117647058826,0.5882352941176471,0,1615,2843,1.0,2889.0,0.4959349593495935,1340.6829268292684,10,2002,1.0,2079.0,0.8571428571428571,1621.5714285714287,12,5,2009,2007,1.0,2837.0,2907.0,0.8571428571428571,2542.1428571428573,0.5294117647058824,1456.7058823529412,2846.1176470588234,1.0,1701.3529411764705,0.49269374416433237,1368.381559290383,8797,cash,0.64,1,14804.0,8.01,1.0,8832.69918699187,2.5859349593495935,0.5853658536585366,12,5,9,2009,2007,2014
35214,95849,696,3872,10741,cash,0.57,1,14767.0,8.44,1.0,7173.555555555556,3.1083333333333334,0.4444444444444444,1,1615,1160,1.0,2874.0,0.5120481927710844,1076.987951807229,8,2003,1.0,755.0,0.75,614.75,12,2,2003,2002,1.0,2671.0,2943.0,0.8,2506.8,0.5555555555555556,1296.0,1343.5555555555557,1.0,1534.6666666666667,0.5445526695526696,1085.168400272567,9389,home,1.4,0,14767.0,8.44,1.0,6959.722891566265,3.1079518072289156,0.39156626506024095,12,2,11,2003,2002,2014
